,How much do we make,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,who gets it,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,who gets it total,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,who gets it/per capita,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,total,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,How much should people get /cap,Unnamed: 40,by food,total.1,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,How much is needed (xpop),Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,plus waste,Unnamed: 56,Unnamed: 57,Unnamed: 58,How much is needed,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,overshoot/undershoot,Unnamed: 66,Unnamed: 67,Unnamed: 68,production from column 1,Unnamed: 70,Unnamed: 71,Unnamed: 72
0,,original,merged categories,animal feed %,biofuels %,total % redirected,adjusted totals,display totals,,,,region,food,% of supply / consumption,checksum,difference,total adjusted supply,old numbers,total adjusted supply (in new food groups),old numbers for check sum,new adjusted total,,,% of total,old total,% of world population,,,region,food,kg / capita,kg/cap (old),kg / capita (in new food groups),by food groups(old),new adjusted total,old total,calculation for chart,,,region,food,recommended consumption,total recommended consumption,over- or under- shoot,% over or under,calc for chart,overshoot/undershoot,,,,region,food,population,m tonnes,total,m Tonnes,total,,,food,m Tonnes,12.77,mTonnes,12.77,total waste,,,,,,,,
1,food,m Tonnes,,,,,,for the graphic,,,,,,live numbers,pre-check,,m tonnes,m tonnes,m tonnes,m tonnes,m tonnes,pixels,ratio,,m/tonnes,,,,,,,for checking,,for checking,kg / capita,kg/cap,ignore,,,,,kg/cap/year,kg/cap/year,,,SQRT,old,old,,,,,,,,,,,,,exc waste,pixels,inc. waste,pixels,,mTonnes,%,,,food,m Tonnes,,
20,,,,,,,,,,,,,read meat,0.4374804362058339,0.4375,1.9563794166121973e-05,92.74585247563678,92.75,92.74585247563678,92.75,,,,,,,,,,read meat,43.88480542088221,43.886767916183075,43.88480542088221,43.886767916183075,,,,,,,read meat,5.11,,38.77480542088221,7.588024544203955,27.546369169463976,38.776767916183076,7.588408594164985,,,,read meat,2113393271,10.799439614810002,,14.039271499253003,,,,,,,,,,,,,,Eat Lancet ideal Diet,,,
21,,,,,,,,,,,,,Poultry,0.29148287940845347,0.2915,1.7120591546515573e-05,39.05870584073276,39.06,182.05431489092712,182.06,,,,,,,,,,Poultry,18.48151329745232,18.48212565828691,86.1431317062839,86.14582174469317,,,,,,,Poultry,25.55,,60.5931317062839,2.371551143103088,15.399841372894358,60.59582174469317,2.3716564283637247,,,,Poultry,2113393271,53.997198074050004,,70.19635749626501,,,,,,,,,,,,,,per cap consumption requirements,g/day,g/year,kg/year
22,,,,,,,,,,,,,Fish & Seafood,0.6265820959694773,0.6266,1.7904030522708503e-05,97.12022487526899,97.12,,,,,,,,,,,,Fish & Seafood,45.95463901960582,45.95453261476766,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,2113393271,,,,,,,,,,,,,,,,,starchy veg,50,18250,18.25
23,,,,,,,,,,,,,eggs,0.553382197526241,0.5534,1.7802473759043203e-05,45.87538417492538,45.88,,,,,,,,,,,,eggs,21.706979389225747,21.709163471638593,,,,,,,,,eggs,,,,,,0,,,,,eggs,2113393271,,,,,,,,,,,,,,,,,whole grains,232,84680,84.68
24,,,,,,,,,,,,,Legumes,0.31926586536202933,0.3193,3.413463797063976e-05,131.34597700993888,142.67999999999998,133.54902020445786,142.67999999999998,,,,,,,,,,Legumes,62.1493305634448,67.51228082243665,63.19175045980255,67.51228082243665,,,,,,,Legumes,45.625,,17.56675045980255,0.3850246676121107,6.205035597094595,21.88728082243665,0.4797212235054608,,,,Legumes,2113393271,96.423567989375,,125.35063838618751,,,,,,,,,,,,,,veg & fruit,500,182500,182.5
25,,,,,,,,,,,,,nuts,0.4156685272677344,0.4157,3.147273226561387e-05,2.203043194518992,,,,,,,,,,,,,nuts,1.0424198963577527,,,,,,,,,,nuts,,,,,,,,,,,,2113393271,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,SSAfrica,Startch Veg,0.24109918924260015,0.1354,-0.10569918924260016,201.24549326079836,112.99,201.24549326079836,112.99,504.26084161100374,,,0.084473443428887,524.33,0.10033304789569761,,,SSAfrica,Startch Veg,312.5983689657554,175.50946924147075,312.5983689657554,175.50946924147075,783.277747326353,814.4515444497775,39.16388736631765,,,SSAfrica,Startch Veg,18.25,452.96500000000003,294.3483689657554,16.128677751548242,40.16052508564628,157.25946924147075,8.616957218710727,,,SSAfrica,Startch Veg,643782928,11.749038436,291.61113398152,15.273749966799999,379.094474175976,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,Whole Grains,0.07462852423682473,0.0746,-2.852423682472849e-05,95.53645158701353,199.03,95.53645158701353,199.03,,,,,,,,,,Whole Grains,148.3985477586531,309.1570020632793,148.3985477586531,309.1570020632793,,,,,,,Whole Grains,84.68,,63.7185477586531,0.7524627746652468,8.674461220532644,224.47700206327931,2.650885711658943,,,,Whole Grains,643782928,54.51553834304,,70.870199845952,,,,,,,,,,,,,,milk,250,91250,91.25
29,,,,,,,,,,,,,Vegetables,0.030786872474324933,0.0308,1.3127525675067642e-05,34.789165895987175,34.79,98.50747285183596,98.50999999999999,,,,,,,,,,Vegetables,54.03865865791827,54.03995428720035,153.0134903667964,153.01741583305855,,,,,,,Vegetables,182.5,,-29.48650963320361,-0.16156991579837596,4.019576044788504,-29.48258416694145,-0.16154840639419973,,,,Vegetables,643782928,117.49038436,,152.737499668,,,,,,,,,,,,,,redmeat,14,5110,5.11
30,,,,,,,,,,,,,Fruit,0.07216116303040633,0.0722,3.883696959366967e-05,63.71830695584879,63.72,,,,,,,,,,,,Fruit,98.97483170887811,98.97746154585819,,,,,,,,,Fruit,,,,,,0,,,,,Fruit,643782928,,,,,,,,,,,,,,,,,other asf,70,25550,25.55
31,,,,,,,,,,,,,milk & Dairy,0.03878533930612425,0.0398,0.001014660693875749,32.618470356450494,33.43,32.618470356450494,33.43,,,,,,,,,,milk & Dairy,50.66687688936432,51.92744098364783,50.66687688936432,51.92744098364783,,,,,,,milk & Dairy,91.25,,-40.58312311063568,-0.4447465546371034,6.66893210819471,-39.32255901635217,-0.43093215360385945,,,,milk & Dairy,643782928,58.74519218,,76.368749834,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,read meat,0.028633821788983285,0.0286,-3.3821788983284806e-05,6.070370219264457,6.07,6.070370219264457,6.07,,,,,,,,,,read meat,9.42921900418033,9.428643935708715,9.42921900418033,9.428643935708715,,,,,,,read meat,5.11,,4.31921900418033,0.8452483374129804,9.19373883364641,4.318643935708715,0.8451357995516076,,,,read meat,643782928,3.2897307620800005,,4.2766499907040005,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,Poultry,0.03203525791296399,0.032,-3.5257912963986004e-05,4.292724560337175,4.29,12.356674670436348,12.36,,,,,,,,,,Poultry,6.667968928087473,6.663736817823787,19.193852668358346,19.19901796463916,,,,,,,Poultry,25.55,,-6.356147331641655,-0.24877288969243266,4.987713801857848,-6.35098203536084,-0.24857072545443598,,,,Poultry,643782928,16.4486538104,,21.38324995352,,,,,,,,,,,,,,legumes,125,45625,45.625
34,,,,,,,,,,,,,Fish & Seafood,0.043336749542266975,0.0433,-3.6749542266976964e-05,6.717196179051381,6.72,,,,,,,,,,,,Fish & Seafood,10.43394580207225,10.438301029318378,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,643782928,,,,,,,,,,,,,,,,,,,,452.96500000000003
35,,,,,,,,,,,,,eggs,0.016245523896837054,0.0162,-4.552389683705471e-05,1.3467539310477918,1.35,,,,,,,,,,,,eggs,2.091937938198622,2.096980117496996,,,,,,,,,eggs,,,,,,0,,,,,eggs,643782928,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,Legumes,0.14040590857540525,0.1404,-5.908575405250138e-06,57.76299078792172,61.94,57.925908665204574,61.94,,,,,,,,,,Legumes,89.72432830328444,96.21255442797327,89.97739167324515,96.21255442797327,,,,,,,Legumes,45.625,,44.35239167324515,0.9721072147560581,9.859549760288541,50.587554427973274,1.1087683162295512,,,,Legumes,643782928,29.37259609,,38.184374917,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,nuts,0.030739222128840355,0.0307,-3.922212884035353e-05,0.16291787728285387,,,,,,,,,,,,,nuts,0.25306336996071116,,,,,,,,,,nuts,,,,,,,,,,,,643782928,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,EMEA,Startch Veg,0.03477069961085575,0.0195,-0.01527069961085575,29.023102965181295,16.29,29.023102965181295,16.29,320.36261819566573,,,0.05366693439534996,406.2800000000001,0.060696380496397924,,,EMEA,Startch Veg,74.5221881901048,41.82758980227543,74.5221881901048,41.82758980227543,822.5903119626327,1043.1990905382727,41.12951559813163,,,EMEA,Startch Veg,18.25,452.96500000000003,56.2721881901048,3.083407572060537,17.559634312993357,23.577589802275433,1.2919227288918045,,,EMEA,Startch Veg,389455861,7.10756946325,176.409874077865,9.239840302225,229.33283630122452,,,,,,,,,,,,,,,,
